City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
122,Port Alfred,100,ZA,1580932220,91,-33.59,26.89,71.01,5.99
123,Saint-Joseph,20,RE,1580932221,83,-21.37,55.62,78.8,14.99
124,Saldanha,71,ZA,1580932222,64,-33.01,17.94,68.0,13.87
125,Thompson,5,CA,1580932223,62,55.74,-97.86,-13.0,9.17
126,Senador Jose Porfirio,79,BR,1580932225,91,-2.59,-51.95,78.76,4.76
127,La Ronge,75,CA,1580931962,69,55.1,-105.28,-7.6,11.41
128,Ancud,22,CL,1580932227,51,-41.87,-73.82,59.0,9.17
129,Adilcevaz,75,TR,1580932228,69,38.8,42.73,35.6,7.72
130,Mayo,90,US,1580932229,60,38.89,-76.51,41.0,6.93
131,Kaitangata,98,NZ,1580932232,62,-46.28,169.85,55.0,13.0
132,San Juan,0,AR,1580932233,21,-31.54,-68.54,85.71,10.16
133,Rome,20,US,1580932130,68,43.21,-75.46,32.0,6.93
134,Lincoln,40,US,1580932047,32,40.8,-96.67,34.0,5.66
135,Oodweyne,100,SO,1580932237,40,9.41,45.06,69.89,6.4
136,Luderitz,0,NA,1580932238,72,-26.65,15.16,68.0,13.87
137,Hwange,61,ZW,1580932239,86,-18.37,26.5,68.95,1.99
138,Sao Filipe,0,CV,1580932240,80,14.9,-24.5,71.44,12.86
139,Fuling,100,CN,1580932242,96,29.7,107.39,42.71,1.03
140,Saint-Prosper,28,CA,1580932243,65,46.21,-70.48,12.99,5.01
141,Yellowknife,40,CA,1580932244,75,62.46,-114.35,-14.8,13.87
142,Laguna,1,US,1580932021,37,38.42,-121.42,57.99,4.68
143,Iracoubo,74,GF,1580932246,73,5.48,-53.2,79.09,15.7
144,Micheweni,94,TZ,1580932249,82,-4.97,39.83,80.65,13.06
145,Yelizovo,0,RU,1580932250,51,53.19,158.38,-13.0,13.42
146,Clinton,40,US,1580932127,63,42.59,-82.92,30.99,8.05
147,Uglovskoye,23,RU,1580932252,90,51.36,80.19,22.05,13.29
148,Kamenka,100,RU,1580932254,84,51.32,42.77,26.01,8.01
149,Constitucion,0,CL,1580932255,58,-35.33,-72.42,61.14,15.3
150,Longyearbyen,0,SJ,1580932256,69,78.22,15.64,-7.6,4.7
151,Pangnirtung,75,CA,1580932257,63,66.15,-65.71,-9.4,5.82
152,Acari,100,PE,1580932258,68,-15.43,-74.62,70.99,10.04
153,Udachny,89,RU,1580932259,96,66.42,112.4,-25.96,9.91
154,Alofi,100,NU,1580932261,94,-19.06,-169.92,78.8,9.17
155,Yibin,100,CN,1580932262,88,28.77,104.62,49.46,7.14
156,Hasaki,75,JP,1580932263,37,35.73,140.83,36.0,12.75
157,Malinyi,100,TZ,1580932265,95,-8.93,36.13,72.66,0.78
158,Turtas,100,RU,1580932267,96,58.94,69.13,28.89,6.13
159,Laurel,90,US,1580931979,75,39.1,-76.85,41.0,5.82
160,Ivankiv,7,UA,1580932269,58,50.94,29.89,27.0,13.42
161,Nantucket,90,US,1580932177,64,41.28,-70.1,41.0,5.82
162,Mar del Plata,40,AR,1580932147,94,-38.0,-57.56,71.6,10.02
163,Valparaiso,0,CL,1580932275,43,-33.04,-71.63,71.6,11.41
164,Taperoa,73,BR,1580932276,44,-7.21,-36.83,85.91,7.67
165,San Pedro de Macoris,20,DO,1580932280,55,18.46,-69.3,87.8,6.93
166,Geraldton,0,AU,1580932281,83,-28.77,114.6,71.6,1.12
167,Limon,100,CR,1580932282,70,10.0,-83.03,84.99,4.7
168,Isangel,75,VU,1580932283,100,-19.55,169.27,77.0,15.41
169,Boa Vista,75,BR,1580932279,34,2.82,-60.67,93.2,17.22
170,Bilibino,1,RU,1580932286,92,68.05,166.44,-35.41,0.51
171,Tarakan,100,ID,1580932287,77,3.3,117.63,77.36,9.04
172,Lagoa,0,PT,1580932288,63,39.05,-27.98,59.18,20.98
173,Plavinas,95,LV,1580932289,72,56.62,25.73,31.78,12.55
174,Port Elizabeth,40,ZA,1580932291,88,-33.92,25.57,66.2,18.34
175,Mthatha,100,ZA,1580932292,68,-31.59,28.78,71.6,6.93
176,Suntar,89,RU,1580932295,95,62.14,117.63,-17.41,2.73
177,Thatta,0,PK,1580932296,45,24.75,67.92,57.87,5.14
178,Zeulenroda,97,DE,1580932297,76,50.65,11.98,34.0,8.05
179,Ahipara,100,NZ,1580932298,87,-35.17,173.17,64.0,13.58
180,Padre Bernardo,80,BR,1580932299,85,-15.35,-48.5,77.63,4.25
181,Salalah,16,OM,1580932014,53,17.02,54.09,71.6,4.7
182,Cunha,40,BR,1580932302,58,-23.07,-44.96,84.2,3.36
183,Port Keats,6,AU,1580932303,83,-14.25,129.55,80.92,5.48
184,Businga,49,CD,1580932304,41,3.33,20.88,79.03,2.35
185,Chui,4,UY,1580932305,64,-33.7,-53.46,82.56,16.42
186,Moose Factory,90,CA,1580932307,57,51.26,-80.61,17.6,24.16
187,Guanica,40,PR,1580932308,68,17.97,-66.91,86.0,20.8
188,Kahului,20,US,1580932309,69,20.89,-156.47,77.0,5.82
189,Gotsucho,100,JP,1580932310,79,35.0,132.22,38.61,18.03
190,Noumea,0,NC,1580932311,69,-22.28,166.46,82.0,8.05
191,Zhanaozen,53,KZ,1580932312,71,43.3,52.8,36.61,13.8
192,Pinega,100,RU,1580932314,96,64.7,43.39,4.17,4.41
193,Tilichiki,19,RU,1580932315,90,60.47,166.1,-20.22,8.93
194,Ilheus,20,BR,1580932316,70,-14.79,-39.05,87.8,9.17
195,Carnarvon,40,AU,1580932317,100,-24.87,113.63,75.2,12.75
196,Hamilton,90,US,1580932318,74,39.18,-84.53,37.99,6.93
197,Ponta do Sol,20,PT,1580932320,72,32.67,-17.1,66.2,5.82
198,Mehamn,20,NO,1580932323,73,71.04,27.85,23.0,28.86
199,Katsina,10,NG,1580932324,15,12.99,7.6,66.0,9.19
200,Sidi Ali,0,DZ,1580932325,64,36.1,0.42,50.61,8.46
201,Dunedin,56,NZ,1580932327,73,-45.87,170.5,54.23,17.9
202,Arraial do Cabo,75,BR,1580932163,83,-22.97,-42.03,80.6,13.87
203,Assai,40,BR,1580932197,70,-23.37,-50.84,84.2,5.82
204,San Quintin,22,MX,1580932330,29,30.48,-115.95,55.67,8.95
205,Mana,73,GF,1580932332,68,5.66,-53.78,78.87,7.23
206,Bahia Blanca,0,AR,1580932115,43,-38.72,-62.27,79.23,22.24
207,Aguimes,0,ES,1580932339,72,27.91,-15.45,69.01,14.99
208,Los Llanos de Aridane,20,ES,1580932340,72,28.66,-17.92,68.0,4.7
209,Nouadhibou,0,MR,1580932341,29,20.93,-17.03,75.2,9.17
210,Kapuskasing,75,CA,1580932342,62,49.42,-82.43,24.8,21.92
211,San Patricio,90,MX,1580932347,94,19.22,-104.7,73.4,6.93
212,Semirom,0,IR,1580932348,56,31.42,51.57,20.55,2.33
213,Ferrol,4,ES,1580932349,76,43.48,-8.24,53.01,1.12
214,Bambous Virieux,75,MU,1580932352,94,-20.34,57.76,78.8,12.75
215,Usinsk,100,RU,1580932353,94,65.99,57.53,-9.08,8.93
216,Touros,40,BR,1580932354,58,-5.2,-35.46,86.0,13.87
217,Husavik,75,IS,1580932355,66,66.04,-17.34,48.2,35.57
218,Valdemarpils,100,LV,1580932356,80,57.37,22.59,39.2,20.8
219,Padang,100,ID,1580932358,94,-0.95,100.35,68.67,4.99
220,Dorado,20,PR,1580932115,58,18.46,-66.27,84.2,18.34
221,Sterling,90,US,1580932360,69,39.01,-77.43,41.0,8.05
222,Muros,16,ES,1580932361,76,42.78,-9.06,59.0,6.93
223,Teguldet,92,RU,1580932362,96,57.31,88.17,15.3,6.53
224,Riyadh,59,SA,1580932110,36,24.69,46.72,64.4,4.7
225,Winneba,0,GH,1580932365,79,5.35,-0.62,84.2,8.05
226,Kaseda,0,JP,1580932366,66,31.42,130.32,35.8,6.35
227,Manali,20,IN,1580932368,65,13.17,80.27,80.01,3.36
228,Vendas Novas,9,PT,1580932369,76,38.68,-8.46,64.0,5.57
229,Emerald,75,AU,1580932370,100,-23.53,148.17,73.4,5.82
230,Dubbo,90,AU,1580932371,82,-32.25,148.62,66.2,10.29
231,Kavieng,100,PG,1580932372,79,-2.57,150.8,83.19,13.06
232,Aykhal,100,RU,1580932374,67,66.0,111.5,-25.6,4.47
233,Coahuayana Viejo,90,MX,1580932375,93,18.73,-103.68,64.4,5.79
234,Bage,40,BR,1580932189,41,-31.33,-54.11,93.2,14.99
235,Balakhta,100,RU,1580932378,98,55.38,91.6,9.36,2.1
236,Puerto Baquerizo Moreno,75,EC,1580932380,74,-0.9,-89.6,84.2,11.41
237,Puerto Cabezas,75,NI,1580932381,62,14.04,-83.39,86.0,9.17
238,Torbay,75,CA,1580932382,86,47.67,-52.73,32.0,23.04
239,Airai,0,TL,1580932383,73,-8.93,125.41,67.17,3.4
240,Havre-Saint-Pierre,1,CA,1580932384,43,50.23,-63.6,15.8,17.22
241,Mountain Home,90,US,1580932386,89,43.13,-115.69,33.01,2.93
242,Fortuna,90,US,1580932388,81,40.6,-124.16,55.99,9.17
243,Abu Zabad,62,SD,1580932389,14,12.35,29.25,70.07,11.9
244,Horsham,99,GB,1580932390,80,51.06,-0.33,44.01,2.24
245,Vardo,100,NO,1580932391,92,70.37,31.11,17.6,47.2
